iter	Passed	Remaining
935	44548	3046
936	44598	2998
937	44641	2950
938	44688	2903
939	44738	2855
940	44787	2808
941	44838	2760
942	44885	2713
943	44934	2665
944	44984	2618
945	45029	2570
946	45077	2522
947	45122	2475
948	45171	2427
949	45217	2379
950	45267	2332
951	45317	2284
952	45364	2237
953	45411	2189
954	45461	2142
955	45515	2094
956	45565	2047
957	45617	1999
958	45666	1952
959	45715	1904
960	45767	1857
961	45814	1809
962	45865	1762
963	45910	1714
964	45959	1666
965	46006	1619
966	46053	1571
967	46098	1523
968	46147	1476
969	46195	1428
970	46242	1381
971	46290	1333
972	46341	1285
973	46389	1238
974	46438	1190
975	46482	1143
976	46529	1095
977	46576	1047
978	46620	1000
979	46668	952
980	46715	904
981	46764	857
982	46809	809
983	46857	761
984	46909	714
985	46957	666
986	47006	619
987	47052	571
988	47096	523
989	47146	476
990	47191	428
991	47236	380
992	47281	333
993	47328	285
994	47378	238
995	47427	190
996	47472	142
997	47522	95
998	47567	47
999	47616	0
